Component:1, Number of nodes:17499, Average distance: 3.5010728728936527
Component:2, Number of nodes:4, Average distance: 1.5
Component:3, Number of nodes:2, Average distance: 1.0
Component:4, Number of nodes:2, Average distance: 1.0
Component:5, Number of nodes:2, Average distance: 1.0
Component:6, Number of nodes:3, Average distance: 1.3333333333333333
Component:7, Number of nodes:2, Average distance: 1.0
Component:8, Number of nodes:2, Average distance: 1.0
Component:9, Number of nodes:2, Average distance: 1.0
Component:10, Number of nodes:2, Average distance: 1.0
Component:11, Number of nodes:2, Average distance: 1.0
Component:12, Number of nodes:2, Average distance: 1.0
Component:13, Number of nodes:2, Average distance: 1.0
Component:14, Number of nodes:2, Average distance: 1.0
Component:15, Number of nodes:2, Average distance: 1.0
Component:16, Number of nodes:2, Average distance: 1.0
Component:17, Number of nodes:2, Average distance: 1.0
Component:18, Number of nodes:4, Average distance: 1.6666666666666667
Component:19, Number of nodes:2, Average distance: 1.0
Component:20, Number of nodes:2, Average distance: 1.0
Component:21, Number of nodes:2, Average distance: 1.0
Component:22, Number of nodes:2, Average distance: 1.0
Component:23, Number of nodes:2, Average distance: 1.0
